"","id","tid","airline","rtag","tweet"
"14",115815,575214109219778560,"Delta","vK!c7m35.Iav","@DeltaAssist Random security search in MAD = Delta security chose to strip search 2 Diamond Elite flying biz out of the entire flight! ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡"
"15",115816,575218694114181120,"American","vK!c7m35.Iav","Hey @AmericanAir Does the LAX Regional AAdmirals club really not open until 6:30…seems late considering my flight is at 6:55."
"16",115818,575228968422535168,"Delta","vK!c7m35.Iav","@DeltaAssist I lost a computer yesterday at JFK airport during a connexion Miami/Paris, do you have a lost and found service?"
"17",115819,575237036942229504,"Delta","vK!c7m35.Iav","Horrible customer service at @Delta lounge JFK airport gate B. Never have I experienced such an atrocity @DeltaAssist #Delta #jfkairport"
"18",115820,575243388083175424,"Delta","vK!c7m35.Iav","Horrible pk tag bag ser last night from ATL to HPN.   arr  at 11 pm &amp; all pink tag bags missing.   Still no news. #delta @DeltaAssist @Delta"
"19",115821,575244552493232128,"Delta","vK!c7m35.Iav","Horrible pk tag service on delta from ATL to HPN arr @ 11 pm.  All pink tag bags  missing.  @Delta @DeltaAssist"
"20",115822,575245694560309248,"American","vK!c7m35.Iav","@AmericanAir hey i'm poor you can offer me the beauty holidays in miami pleaseee. I never had holiday 😔"
"21",115823,575245936961712128,"American","vK!c7m35.Iav","@AmericanAir Your merger equates to millions of dollars yet you can't pay someone to deal with real issues that are happening in at AA"
"22",115824,575249876981841920,"JetBlue","vK!c7m35.Iav","@JetBlue at Ponce, Puerto Rico airport.. Pretty irritated that 5am flight still hasn't left.. It's now 7am#angry #poorservice😡"
"23",115825,575250181253373952,"American","vK!c7m35.Iav","@AmericanAir screwed me again with preventable delays. I should have known better."
"24",115826,575250213667008512,"American","vK!c7m35.Iav","Stuck at the PHL airport because our captain is running late? Is this a sick joke. Guess we'll miss our connecting flight @AmericanAir"
"25",115827,575251990403547136,"JetBlue","vK!c7m35.Iav","@USAirways one again #1 for #worstcustomerserviceever  Give shuttle route to @Virgin or @JetBlue who serve customers, not own bureaucrats"
"26",115828,575253745346416640,"JetBlue","vK!c7m35.Iav","My experience on @JetBlue consisted of sitting on the tarmac in a over heated airplane for 3.5 hrs w/no provisions or ABC TV. #disappointed"
"27",115829,575253888300789760,"Delta","vK!c7m35.Iav","@DeltaAssist @Delta I never got my seat upgraded. Do you consider this matter closed? My flight nightmare coming to Asia ruined my trip FYI"
"28",115830,575255941521805312,"American","vK!c7m35.Iav","@AmericanAir #luggage #fail"
"29",115831,575256784014725120,"United","vK!c7m35.Iav","@united wifi issue still not fixed, passing credentials in clear text in URL and storing in browser history #infosec http://t.co/NX3iCbHuZD"
"30",115832,575257582425759744,"United","vK!c7m35.Iav","@united worst flight I have ever taken in my life 45 mins late. ""Overweight"" then when some left, replaced him with a employee.Crock of shit"
"31",115833,575258135755100160,"Delta","vK!c7m35.Iav","@DeltaAssist bragging about baggage service speed then denying claims. #poorservice flight landed 6:47-8:12 no bags http://t.co/KPjAkhnNNK"
"32",115834,575258264839045120,"United","vK!c7m35.Iav","Shameful, @united MT @kristen: my wildly offensive experience while #breastfeeding my baby aboard a flight http://t.co/dkRuOJ8alP"
"33",115835,575259422542295040,"SouthWest","vK!c7m35.Iav","@SouthwestAir flight aware says SWA526 arrived at 7:25.....can you say it arrived when we are sitting on the plane waiting for the gate???"
"34",115836,575260477153894400,"VirginAmerica","vK!c7m35.Iav","@VirginAmerica - is it just me, or is the add to passbook button broken on the boarding pass page? I press it and nothing happens."
"35",115837,575260837872582656,"United","vK!c7m35.Iav","@United w/ #Babies #Infants say they dont have (/wont provide) seat straps on flights. Attendants ""hold baby on laps"" #FAIL #stocks #danger"
"36",115838,575261059591860224,"American","vK!c7m35.Iav","@AmericanAir we're sorry is all I've been getting from you people, how about some actual help, never been treated this way @VirginAmerica"
"37",115839,575261059591860224,"VirginAmerica","vK!c7m35.Iav","@AmericanAir we're sorry is all I've been getting from you people, how about some actual help, never been treated this way @VirginAmerica"
"38",115840,575263686811504640,"Delta","vK!c7m35.Iav","@DeltaAssist I have, they are refusing to contact @delta, @EtihadHelp please contact @DeltaAssist Being at airports for 3 days is not okay."
"39",115841,575265551255232512,"American","vK!c7m35.Iav","@AmericanAir I gave you another chance yesterday. The flight was a half-hour late. With your track record, not so bad. My mind, unchanged."
"40",115842,575266201976209408,"Delta","vK!c7m35.Iav","@DeltaAssist I already did that. It was denied.  The bag was hours late on another plane. Why do the same thing over again? #DeltaAirlines"
"41",115843,575266296805326848,"JetBlue","vK!c7m35.Iav","@JetBlue waits until last second to cancel flight so we can't board the @united flight. Nice"
"42",115844,575266375750516736,"United","vK!c7m35.Iav","@united how are those ""investigations"" going?  Or did I waste my time dm'ing you w/ info since you lied and never intended to look into them"
"43",115845,575267297092222976,"American","vK!c7m35.Iav","Airlines I will never use again for rudeness &amp; bad customer service: @emirates @easyJet @AirAsia  @AmericanAir @KLM"
"44",115846,575268295810678784,"United","vK!c7m35.Iav","@kristen So sorry this happened to you! I BFed @united many times w/out issue. Hope the rude FA is reprimanded, training provided to all!"
"45",115847,575268413687349248,"United","vK!c7m35.Iav","@united it had been 10 days since I filled a complaint and no follow up. Is this what service has come to. Never flying them again."
"46",115848,575268684928794624,"United","vK!c7m35.Iav","@united frustrated! No premier security lines open at O'Hare!!!! What's up with that?"
"47",115849,575270266827231232,"SouthWest","vK!c7m35.Iav","Yet another delay with @SouthwestAir definitely will miss my connection in Dallas. Have to rethink my airline choice after all these years."
"48",115850,575270407479115776,"United","vK!c7m35.Iav","@united can you explain the random delay for flight 761 to SFO"
"49",115851,575271449465864192,"Delta","vK!c7m35.Iav","Screwed by Delta. Change my assigned seat while boarding.Now in a middle. SUCK @DeltaAssist"
"50",115852,575271661567500288,"United","vK!c7m35.Iav","secondary shout out to @united for flight UA3629 being the one and only flight delayed out of GRR this morning"
"51",115853,575272762941530112,"Delta","vK!c7m35.Iav","@airfrance YESSS! But it's a problem on @DeltaAssist website and when you call them they don't seem to know how to help you %Â£^@^$!!!"
"52",115854,575273298646409216,"American","vK!c7m35.Iav","@jmspool Sigh. I have that card, too. Looks like I'll be avoiding #theNewAmerican @AmericanAir @USAirways"
"53",115855,575273670802808832,"American","vK!c7m35.Iav","As a Peace Corps volunteer heading to service today I am extremely disappointed with the customer service or lack of from @AmericanAir"
"54",115856,575273831977328640,"United","vK!c7m35.Iav","Just booked a trip to @SecretsResorts #huatulco flying @united. Can't wait! #funinthesun #ThinkSpring #pto"
"55",115857,575274119798726656,"VirginAmerica","vK!c7m35.Iav","@mattejacob @VirginAmerica yeah I know but something got fucked up and my flight was cancelled and my mom had united miles"
"56",115858,575274671853080576,"Delta","vK!c7m35.Iav","@DeltaAssist I was actually thinking a number where they don't put customers on hold for more than 15 minutes, I actually have a life."
"57",115859,575276185615228928,"United","vK!c7m35.Iav","So our @united flight has a check engine light on and we may miss our connection. Really looking forward to this. *headdesk*"
"58",115860,575276916451622912,"United","vK!c7m35.Iav","These airplane seats are the WORST. And they didn't even have a blanket for me. 👎👎👎 @united"
"59",115861,575277531055677440,"JetBlue","vK!c7m35.Iav","@JetBlue CHEAH bout to be relaxed like a boss! What! On my way to San Fran to univ of Hayward to kill it! #GRINDHARD http://t.co/qvnnl9JJsV"
"60",115862,575278139586277376,"American","vK!c7m35.Iav","I hate @americanair their customer relations staff is very unprofessional and incompetent I've waited 2 weeks and still no response!!"
"61",115863,575279512583344128,"JetBlue","vK!c7m35.Iav","I have bad travel karma lately - last 3 trips BOS&gt;DCA on @JetBlue have had serious delays. And always just my flight, not others! boooo"
"62",115864,575282453255950336,"SouthWest","vK!c7m35.Iav","Some unhappy folks #onholdwith @SouthwestAir: @brianmccormick, @ebehoops and 18 others. More: http://t.co/fsU4FvFxFr #callcenter"
"63",115865,575282865316970496,"United","vK!c7m35.Iav","Worst BDay gift so far? Random seat assignment for my @united flight on Fri. https://t.co/V5QlAxrKTl #AtLeastItsAnAisle"
"64",115868,575284137386504192,"United","vK!c7m35.Iav","Furious at @United because she missed her best friend's funeral http://t.co/fhuyJz5Xnn via @elliottdotorg"
"65",115870,575284664958611456,"United","vK!c7m35.Iav","@united New Complaint: ""United Airlines gaff wasted hours of my time"". Respond on https://t.co/V7jKehJ2Ph"
"66",115871,575286345817526272,"American","vK!c7m35.Iav","@AmericanAir After many years of being my preferred airline, you have lost a customer. #heartless #tonedeaf http://t.co/oX75MWozLU"
"67",115872,575286374535921664,"Delta","vK!c7m35.Iav","@DeltaAssist TV broken on 8.5 hour flight 477 from BCN to JFK! no movies+TV! flight attendant won't reset system (worked before!) WTF?!"
"68",115873,575286851684208640,"American","vK!c7m35.Iav","@AmericanAir upset? Not really. Disappointed and inconvenienced by your lack of service. Don't worry. @Delta was glad to help"
"69",115874,575286962703085568,"SouthWest","vK!c7m35.Iav","@NYCAviation Extremely poor planning of @Delta JFK Term 4.  Over a mile walk to/from gates. I'll stick w/ @SouthwestAir out of ISP."
"70",115875,575287211832274944,"United","vK!c7m35.Iav","@united airlines is the absolute most disgusting company to ever exist. #scam"
"71",115876,575287601508323328,"United","vK!c7m35.Iav","Missing bag and no one at baggage claim @united... Can you help"
"72",115877,575287894132269056,"SouthWest","vK!c7m35.Iav","@SouthwestAir My flight into Denver on Icelandair today was cancelled. I was supposed to fly to OKC on Southwest tonight. Can I rebook?"
"73",115878,575289443365560320,"VirginAmerica","vK!c7m35.Iav",".@VirginAmerica destroying my long-time love of co. Trying to book flights to see a dying family member &amp; have most unhelpful rep ever."
"74",115879,575291460678889472,"JetBlue","vK!c7m35.Iav","@JetBlue you suck ass Regina is whore and your guards are dicks"
"75",115880,575291530161885184,"SouthWest","vK!c7m35.Iav","Obviously he's never watched a @SouthwestAir commercial"
"76",115881,575291595890692096,"American","vK!c7m35.Iav","50 mins on hold &amp; counting, @USAirways.  No wonder @AmericanAir gobbled you up. #notrocketscience #customerservicefail"
"77",115882,575292403357216768,"United","vK!c7m35.Iav","Flight has been canceled and delayed twice in 24 hours. Any way you can get us back to Memphis? #stuckincostarica @united"
"78",115883,575292643271270400,"United","vK!c7m35.Iav","@United 4th #flight in a row that #WiFi is not working on enabled planes. :-("
"79",115884,575294902197612544,"American","vK!c7m35.Iav","@AmericanAir then why has it been over 2 weeks since I submitted my complaint and I haven't gotten so much as an email back?"
"80",115885,575295072863809536,"United","vK!c7m35.Iav","@united this new mileage program is unfair compared to original. I feel violated &amp; cheated. Who can I talk to? #NotHappy #LoyaltyNoMore"
"81",115886,575295547759804416,"SouthWest","vK!c7m35.Iav","@SouthwestAir My flight from Boston to Baltimore is delayed til 1. It will get me there 5 min before my connection boards. Will I make it?"
"82",115887,575297139263275008,"United","vK!c7m35.Iav","@kristen  So sorry you had to deal with this. Looks like my family and I will no longer be flying with @united."
"83",115888,575297376379891712,"VirginAmerica","vK!c7m35.Iav","I miss Los Angeles so much. BEST place in the World @NBCLA @myfoxla @VirginAmerica http://t.co/LYxkHgRnLK"
"84",115889,575297859223838720,"American","vK!c7m35.Iav","@AmericanAir Flight to MTY 391. Crew off plane 10 minutes ago no announcement from gate agents on delay. #mergernotworking @dfwairport"
"85",115890,575298312091258880,"United","vK!c7m35.Iav","@kristen @united Isn't this treatment illegal?"
"86",115891,575298419276668928,"American","vK!c7m35.Iav","@AmericanAir the flight number was 102 - HNL to FTW. we took off and landed eventually, but not before we missed 2 connecting flights."
"87",115892,575298443989622784,"Delta","vK!c7m35.Iav","@DeltaAssist same thing this morning. How do I get to talk to somebody on the phone? Is there anybody working? The hold time is ridiculous."
"88",115894,575300679025172480,"Delta","vK!c7m35.Iav","@DeltaAssist My husband's flight got cancelled in ORF. He needs to make a connection in ATL. Anyway you can help??"
"89",115895,575301290764451840,"United","vK!c7m35.Iav","3/8:@kefairport staff claimed they personally received our bags from @united flt LHR-KEF,put it on @Icelandair KEF-IAD.Still no bags in site"
"90",115896,575302088021917696,"United","vK!c7m35.Iav","@ClaudiaLGomezM @kristen @united This man needs a lesson in manners! #rude"
"91",115897,575302105180721152,"United","vK!c7m35.Iav","@united   =sex discrimination! Why would 2 spouses pay  $395/yr EACH,+hassle of monitoring 2 cards so UAL can't cheat wife out of her PQD ??"
"92",115898,575302427617927168,"United","vK!c7m35.Iav","@TheChainsmokers @united My flight to Charleston, SC this weekend was delayed 6 hours. Totally ridiculous!"
"93",115899,575302476884238336,"SouthWest","vK!c7m35.Iav","@SouthwestAir If I'm going to be delayed in Chicago, at least make it long enough to head into the city for @LouMalnatis. Everyone wins!"
"94",115900,575302513945088000,"United","vK!c7m35.Iav","@united are you going to hire more ground crew? staff at EWR says 45 min is the wait for bags because they don't have enough ground crew."
"95",115901,575302697492021248,"JetBlue","vK!c7m35.Iav","@JetBlue Still waiting for more flights out of BWI... maybe to Cali?"
"96",115902,575302773429772288,"United","vK!c7m35.Iav","@kristen @LiviRichelle @united this is disgusting and offensive behaviour!!! This mother deserves an apology!"
"97",115903,575302915348393984,"American","vK!c7m35.Iav","From 29MAR15, @AmericanAir is cancelling New York JFK â€“ Sao Paulo Viracopos/Campinas service http://t.co/syfgseM7ea"
"98",115904,575303248002826240,"United","vK!c7m35.Iav","@united your new #mileageplus program is terrible.  Disappointed that you felt @delta decision to treat customers poorly is the way to go."
"99",115905,575304183169085440,"American","vK!c7m35.Iav","Shame on you @americanair​! To cause a family additional pain after such a devastating loss is unforgivable. http://t.co/CkpdZVO0KA"
"100",115906,575304184003698688,"American","vK!c7m35.Iav","Shame on you @americanairâ€‹! To cause a family additional pain after such a devastating loss is unforgivable. http://t.co/wkKuWfei2a"
"101",115907,575304344159002624,"United","vK!c7m35.Iav","Flight 1170 delayed. Maintenance. Oh the hours wasted sitting on @united planes!"
"102",115908,575305383721435136,"American","vK!c7m35.Iav","Miserable lady at EWR just gave me the complete blues about my bag that I've carried onto every @AmericanAir flight ever. :(("
"103",115909,575305620531863552,"Delta","vK!c7m35.Iav","@Delta @DeltaAssist what's the deal in JAX.  Need help. All counters have ""position closed"" signs with people sitting there.  Ugh"
"104",115910,575305651875921920,"United","vK!c7m35.Iav","@kristen I hope @united learns from this, trains their attendants better, &amp; fires Keith. Keith's ONGOING rudeness is appalling &amp; scary."
"105",115912,575306005153718272,"American","vK!c7m35.Iav","Flying @united from Ft. Wayne to Chicago. Flight delayed due to fog. BUT, @AmericanAir is currently boarding for same destination. Explain??"
"106",115913,575306005153718272,"United","vK!c7m35.Iav","Flying @united from Ft. Wayne to Chicago. Flight delayed due to fog. BUT, @AmericanAir is currently boarding for same destination. Explain??"
"107",115914,575306327083319296,"United","vK!c7m35.Iav","@kristen @LolaSharp @united Would United have preferred a hungry screaming kid? They should be bringing you goodie bag and gum. #United"
"108",115915,575306653370859520,"JetBlue","vK!c7m35.Iav","Another flight, another delay.. Thanks @JetBlue"
"109",115916,575306764922523648,"Delta","vK!c7m35.Iav","@Delta @DeltaAssist this plane is so damn old it doesn't even have the push button to flush. FT#DL2226 why is this shit in service. âœˆï¸"
"110",115917,575308050556448768,"American","vK!c7m35.Iav","Stuck on the runway in Chicago for 45 minutes on @AmericanAir. Why? No answers. Now I'll miss my flight home."
"111",115918,575308220576718848,"United","vK!c7m35.Iav","@united why doesn't your website allow me to purchase a journey that involves @lufthansa ? Instead I get longer journeys with more stops!"
"112",115919,575309461113434112,"JetBlue","vK!c7m35.Iav","@JetBlue this mint seating looks awesome. Can't wait to get flight going. Can we get to LA in 4 hours ?"
"113",115920,575310406325047296,"JetBlue","vK!c7m35.Iav","@JetBlue hoping to get this delayed flight figured out"
"114",115921,575310465225519104,"Delta","vK!c7m35.Iav","@deltaassist my flight dl4832 is delayed as our plane never made it to the airport. Is there another flight you can get me on?"
"115",115922,575311481807507456,"American","vK!c7m35.Iav","@AmericanAir 2 ticket nmbrs. Original with 001 but baggage  tracks to 037 tkt for USAwys. Not able to find full 13 digit. This is insane."
"116",115923,575312206461562880,"Delta","vK!c7m35.Iav","I'm flying @DeltaAssist on Sunday, and I'm going to have a real issue if they close my gates early again."
"117",115925,575312849204998144,"AlaskaAir","vK!c7m35.Iav","@AlaskaAir Flight 850 was a pleasant one today but bags were a little slow. How do I use baggage guarantee?"
"118",115926,575313078146859008,"United","vK!c7m35.Iav","@kristen I'm sorry that you were treated so horribly and singled out for #breastfeeding your child. SHAME on your attendants @united!!"
"119",115927,575313095603589120,"United","vK!c7m35.Iav","Hi @united UA 1476 ship arrived last nite, sat in SFO all evening. Now standard safety light check causes a significant delay.  Hmmmm."
"120",115928,575313472361140224,"SouthWest","vK!c7m35.Iav","Southwest Airlines kicks off international service at Hobby #Texas #Aruba http://t.co/oJCWbXaHs7 @SouthwestAir http://t.co/wJdmW9DBhL"
"121",115929,575313540698931200,"Delta","vK!c7m35.Iav","@DeltaAssist Is there an issue with the mobile app? Not able to log in via Android or iPhone. Even tried password change."
"122",115930,575315280341110784,"Delta","vK!c7m35.Iav","@DeltaAssist this app is terrible. I am trying to rebook, because your airline left PHL late and I am going to miss my connection."
"123",115931,575315461547515904,"SouthWest","vK!c7m35.Iav","@SouthwestAir Can't find the answer in your FAQ. If I buy ""wanna get away"" tickets but my trip gets cancelled, am I just out $$ or (1/2)"
"124",115932,575316602045865984,"Delta","vK!c7m35.Iav","@DeltaAssist just got on flight DL1059 seat 8F one of the most uncomfortable seat ever! #oldseat #nopadding #ouch #unhappycustomer"
"125",115933,575316695511736320,"American","vK!c7m35.Iav","Passengers pay to check in bags, pay for seats and pay for food. @USAirways now @AmericanAir is a low class airline.  Never fly again."
"126",115934,575316707956277248,"Delta","vK!c7m35.Iav","@Delta #useless @DeltaAssist #terrible #getittogether http://t.co/kWvkKamgjH"
"127",115935,575318109717856256,"JetBlue","vK!c7m35.Iav","oh how I miss @JetBlue ! stranded in San Antonio thanks to crappy #AmericanAirlines !!!!! @AmericanAir"
"128",115936,575318906555867136,"American","vK!c7m35.Iav","@AmericanAir #delayed again! #Itsnotweather #oldplanes #allthetime #neverfails #noidontwantanupdate"
"129",115937,575319516126781440,"United","vK!c7m35.Iav","@kristen @united Shame on this Keith, I hope United have a lot of paperwork that can keep him from ever meeting any customers again!"
"130",115938,575320698249289728,"JetBlue","vK!c7m35.Iav","@JetBlue FYI the Jetblue app is still not compatible with my device. Nexus 6 launched in Nov.  This is ridiculous."
"131",115939,575321087900270592,"American","vK!c7m35.Iav","Hey, ðŸ˜¾.@AmericanAir: apologizing for the inconvenience doesn't cut it. ðŸ‘Ž5 hr layover is ridiculous.ðŸ˜¼ How about you pay for my dinner? ðŸðŸºðŸ¦"
"132",115940,575321252262469632,"United","vK!c7m35.Iav","Where has @Delta been all my life? After numerous problems with @United, Delta is a godsend."
"133",115941,575321708954918912,"Delta","vK!c7m35.Iav",".@DeltaAssist .@Delta has requested I only submit my issue online after I shared via message. #noservice #airline #trainyourteam #NEEDACALL"
"134",115942,575322140947390464,"VirginAmerica","vK!c7m35.Iav","Off to sunny SoCal again, @VirginAmerica. You've ruined me for other airlines. Fortunately, they won't miss me."
"135",115943,575323013475868672,"Delta","vK!c7m35.Iav","@DeltaAssist Surprised to be told she wld only help if I were 1st Class despite no line and having been told to wait for her by other agent"
"136",115944,575323176575614976,"SouthWest","vK!c7m35.Iav","I hate not having my luggage 😩 @SouthwestAir"
"137",115946,575324636365340672,"United","vK!c7m35.Iav","Ooof, LRT. @United needs to make sure that all of its flight attendants know that #breastfeeding isn't a shameful act."
"138",115947,575325096727945216,"American","vK!c7m35.Iav","@AmericanAir if you allow mobile check in why waste paper and print out boarding pass again at airport #wasteofpaper"
"139",115948,575325101383512064,"United","vK!c7m35.Iav","@united another #unitedairlines #fail"
"140",115949,575325208287965184,"United","vK!c7m35.Iav","In business on @united with broken AC. #United calls it a blanket. I call it a piece of cloth. What do you think? http://t.co/xvEdjE2LMV"
"141",115950,575325530746064896,"SouthWest","vK!c7m35.Iav","Idk why we fly @SouthwestAir anymore. We always say never again, but we keep ending up on these bs flights"
"142",115951,575325782131654656,"Delta","vK!c7m35.Iav","@DeltaAssist rethink booking only 1hr connection 2 JFK from Sydney thru LAX. Or have bottle of water and a sweat rag waiting when I board ðŸ˜“ðŸ˜¡"
"143",115952,575325961811423232,"JetBlue","vK!c7m35.Iav","I'd like to fly to New Orleans and work to repair the shorelines and habitats along the gulf coast.  Still oil. @JetBlue #FlyingItForward"
"144",115953,575327235600596992,"United","vK!c7m35.Iav","@Lackadazy I have to try and contain my rage because I have shit to do that doesn't involve side eyeing @United"
"145",115954,575327368753057792,"American","vK!c7m35.Iav","@AmericanAir So you can take my money for an upgrade but not give me the seat. Is this the NEW service from AA/USAir merger? This is awful."
"146",115955,575327394048929792,"American","vK!c7m35.Iav","The @AmericanAir US Airways merger is the most annoying thing EVER."
"147",115956,575327853711069184,"American","vK!c7m35.Iav","@AmericanAir AA#3007 is showing a 30 minute delay. Is there a reason this flight delayed?"
"148",115957,575328067834408960,"United","vK!c7m35.Iav","#empty @united @goingplacesCLE actually miss the #hustle and #fear of missing #flight! #terminalC is… https://t.co/8iFFy28frG"
"149",115959,575329215043739648,"United","vK!c7m35.Iav","@united the staff is poorly organized."
"150",115960,575329546565779456,"American","vK!c7m35.Iav","@AmericanAir Yes had finally left airpord &amp; in at 1am after delays/cancellations- on and off for electrical problems then waited for pilot"
"151",115961,575330493438169088,"American","vK!c7m35.Iav","&lt;3  :)  (Y)  O:)  @RobinMeade @dreamers @AmericanAir MAKE YOUR DREAM SO BIG, THAT IT'S UNACCEPTABLE!  - Steve Harvey &lt;3  :)  (Y)  O:)"
"152",115962,575331037602967552,"Delta","vK!c7m35.Iav","2 flights, 2 maintenance delays. Sprinted entire airport after 1 hr delay, barely beat the door closing, now 45 min delay  @DeltaAssist"
"153",115963,575331118481850368,"United","vK!c7m35.Iav","So @united doesn’t recognize my mileage number for sign AND their email sign in is not working. TRYING TO PLAN A TRIP, GUYS."
"154",115964,575331635870195712,"JetBlue","vK!c7m35.Iav","The @JetBlue website is so bad it should just say please fly ANYONE else on the home page."
"155",115965,575331636964818944,"SouthWest","vK!c7m35.Iav","And no wifi on this @SouthwestAir flight. Is it because you knew the ago of most the passengers? Short thankfully."
"156",115966,575331881459154944,"United","vK!c7m35.Iav","@united I've now been on the phone with you guys for 45 min explaining why I'm not paying for your tech error #worstcustomerservice"
"157",115967,575331962014949376,"SouthWest","vK!c7m35.Iav","@SouthwestAir destroyed all my luggage Christmas eve 2014, suits, shoes, watches, etc, shred to pieces. It is 3/10/2015, not reimbursed yet."
"158",115968,575332068877430784,"AlaskaAir","vK!c7m35.Iav","@AlaskaAir 3 hour delay flight delay yesterday, haven't even gotten an email from y'all. Disappointing indeed."
"159",115969,575333504696868864,"SouthWest","vK!c7m35.Iav","@SouthwestAir won't let me board with the family I'm flying with. I had to board last. FUCK YOU."
"160",115970,575333514821795840,"American","vK!c7m35.Iav","@AmericanAir  you guys cancelled flight 4260. Plat agent said she can't book me on 4264 can you have someone call me"
"161",115971,575333683814645760,"Delta","vK!c7m35.Iav","@DeltaAssist please get an update on 4473?  Delayed till 11:35 and now 11:32 with no boarding so obviously delayed further. Please update!"
"162",115972,575334578832982016,"VirginAmerica","vK!c7m35.Iav","My @virginamerica flight to #Austin for #sxsw is 2 hours delayed. No problem with #sfo #yogaroom!… https://t.co/5noXw3VuSZ"
"163",115973,575334823562199040,"American","vK!c7m35.Iav","@americanair missed my 1st flight to Europe and they cancel my whole itinerary what gives? please help 40+ min on line"
"164",115974,575334827420839936,"SouthWest","vK!c7m35.Iav","Always flying @SouthwestAir going forward! After being 40 min late out of MKE, they held my connection in STL so I could make it!"
"165",115975,575335093805322240,"United","vK!c7m35.Iav","@United I left a personal item on a plane last week, filed a lost article report and haven’t received anything back. Can you help?"
"166",115976,575335270758793216,"SouthWest","vK!c7m35.Iav","Might miss my @SouthwestAir flight due to traffic being stopped on I-70. Iâ€™ve never missed a flight :(."
"167",115977,575335333899943936,"SouthWest","vK!c7m35.Iav","by cp_cara #repost from @southwestair first time flying with SWA!! Cannot wait! @jetsettingjared #swa #southwest #aâ€¦ http://t.co/yX1Q6LZ8hM"
"168",115978,575335554583146496,"SouthWest","vK!c7m35.Iav","@benr75 @SouthwestAir #protip never take I-70."
"169",115979,575336416684732416,"American","vK!c7m35.Iav","What's the hold up W the airline..It's clear my luggage is a wrap. Literally come on @AmericanAir they destroyed it http://t.co/1X0UJHboKo"
"170",115980,575336496619651072,"American","vK!c7m35.Iav","@AmericanAir Corp card no statement but like your cs rep, you're missing the point"
"171",115981,575337489575067648,"American","vK!c7m35.Iav","@AmericanAir @greglinton13 I miss when American Airlines had aircraft that used to look like this. http://t.co/prwYo4m6tA"
"172",115982,575338138006130688,"Delta","vK!c7m35.Iav","@DeltaAssist no, I need my miles and money back for an overnight delay with no hotel at the airport and the faulty plane I'm currently in"
"173",115983,575338406869405696,"AlaskaAir","vK!c7m35.Iav","@alaskaair @airlinereporter ah that explains alot! another excuse to move to WA or OR it seems!"
"174",115984,575338692581191680,"American","vK!c7m35.Iav","@Carisssmma_ @AmericanAir I want them to put my ass on another flight .. This shit is ridiculous"
"175",115985,575338959246614528,"Delta","vK!c7m35.Iav","@DeltaAssist FYI, been trying to buy 2 tickets using your app &amp; my Skymiles number but the last ""bring your credit card"" screen kicks me out"
"176",115986,575340250291011584,"American","vK!c7m35.Iav","Are all of the flight attendants rude, abrasive a-holes on that plane too? @AmericanAir @greglinton13"
"177",115987,575340348962025472,"Delta","vK!c7m35.Iav","@DeltaAssist corporate never reached out to me"
"178",115988,575341005819355136,"VirginAmerica","vK!c7m35.Iav","Hanging at #SFO waiting for the fog to burn for the next connection @VirginAmerica to #sxsw! #SXSW2015 #Austin"
